,FCLTY_NM,LCLAS_NM,ZIP_NO,FCLTY_ROAD_NM_ADDR,lat,lon,OPTN_DC,ADIT_DC,AREA
663,대화상점,북카페,4053.0,서울특별시 마포구 와우산로29길 45 성암빌딩 지하1층,37.56028733,126.9012179,"사람과 사람 사이의 대화를 만드는 독서 커뮤니티, 매달 다양한 컨셉의 북클럽이 열리며, 북클럽 이외의 시간에는 스터디룸, 파티룸 등의 대관장소로 운영",카페 : 있음,서울
664,청춘문화싸롱,북카페,4053.0,서울특별시 마포구 와우산로29바길 19 삼이빌딩,37.55411869,126.9124274,"앉아서 혹은 누워서 만화도 보고 때론 강연, 공연도 즐길 수 있음",카페 : 있음,서울
665,와우살롱,북카페,4060.0,서울특별시 마포구 와우산로30길 21 청암빌딩,37.55246425,126.9118623,독서활동 장소,카페 : 있음,서울
666,북카페산책 하늘도서관점,북카페,3937.0,서울특별시 마포구 월드컵로 212 마포구청 12층,37.57605274,126.8905999,독서활동 장소,"카페 : 있음, 리뷰여부 : 있음",서울
667,북카페산책 보건소점,북카페,3937.0,서울특별시 마포구 월드컵로 212 마포보건소 1층,37.54626483,126.9163401,보건소 내 북카페,"카페 : 있음, 리뷰여부 : 있음",서울
668,달빛에홀린두더지,북카페,4023.0,서울특별시 마포구 월드컵로 35,37.54976212,126.9177032,독서활동 장소,"카페 : 있음, 리뷰여부 : 있음",서울
669,교보문고 합정점,일반서점,4024.0,"서울특별시 마포구 월드컵로1길 14 딜라이트스퀘어 1차(지하 1층), 2차(지하 2층)",37.5500407,126.9120459,다양한 국내외도서 취급,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음",서울
670,교보문고 합정점,일반서점,4024.0,"서울특별시 마포구 월드컵로1길 14 딜라이트스퀘어 1차(지하 1층), 2차(지하 2층)",37.5500407,126.9120459,다양한 국내외도서 취급,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음",서울
671,초록북카페,북카페,3960.0,서울특별시 마포구 월드컵로31길 69,37.57417458,126.8899464,독서활동 장소,카페 : 있음,서울
672,러셀,북카페,3978.0,서울특별시 마포구 월드컵북로12길 17 사평빌딩,37.55346428,126.9257402,독서활동 장소,카페 : 있음,서울
