ANALS_TRGET_YEAR,ANALS_TRGET_MT,AREA_NM,AGE_FLAG_NM,SEXDSTN_FLAG_NM,LON_CO,LON_MBER_CO,READ_QY
2020,01,대구광역시,유아(6-7),남자,7998,634,12.615
2020,01,대구광역시,유아(6-7),여자,7564,623,12.141
2020,01,대구광역시,초등(8-13),남자,38848,3614,10.749
2020,01,대구광역시,초등(8-13),여자,41752,3820,10.93
2020,01,대구광역시,청소년(14-19),남자,9247,1862,4.966
2020,01,대구광역시,청소년(14-19),여자,15560,3083,5.047
2020,01,대구광역시,20대,남자,7392,1899,3.893
2020,01,대구광역시,20대,여자,15042,3679,4.089
2020,01,대구광역시,30대,남자,18977,2519,7.534
2020,01,대구광역시,30대,여자,74763,8215,9.101
2020,01,대구광역시,40대,남자,52698,5771,9.132
2020,01,대구광역시,40대,여자,107452,12485,8.606
2020,01,대구광역시,50대,남자,14908,2513,5.932
2020,01,대구광역시,50대,여자,19266,3373,5.712
2020,01,대구광역시,60대이상,남자,13272,2287,5.803
2020,01,대구광역시,60대이상,여자,10444,1519,6.876
2020,01,대전광역시,영유아(0-5),남자,2821,298,9.466
2020,01,대전광역시,영유아(0-5),여자,2749,265,10.374
2020,01,대전광역시,유아(6-7),남자,4903,493,9.945
2020,01,대전광역시,유아(6-7),여자,5015,498,10.07
2020,01,대전광역시,초등(8-13),남자,25157,2823,8.911
2020,01,대전광역시,초등(8-13),여자,26029,2886,9.019
2020,01,대전광역시,청소년(14-19),남자,7230,1360,5.316
2020,01,대전광역시,청소년(14-19),여자,10212,1962,5.205
2020,01,대전광역시,20대,남자,4344,987,4.401
2020,01,대전광역시,20대,여자,8732,1871,4.667
2020,01,대전광역시,30대,남자,9879,1415,6.982
2020,01,대전광역시,30대,여자,30597,3893,7.859
2020,01,대전광역시,40대,남자,29875,3793,7.876
2020,01,대전광역시,40대,여자,50914,6900,7.379
2020,01,대전광역시,50대,남자,10815,1739,6.219
2020,01,대전광역시,50대,여자,11310,1993,5.675
2020,01,대전광역시,60대이상,남자,8671,1240,6.993
2020,01,대전광역시,60대이상,여자,6877,886,7.762
2020,01,부산광역시,영유아(0-5),남자,7916,619,12.788
2020,01,부산광역시,영유아(0-5),여자,6330,544,11.636
2020,01,부산광역시,유아(6-7),남자,10439,925,11.285
2020,01,부산광역시,유아(6-7),여자,10886,955,11.399
2020,01,부산광역시,초등(8-13),남자,56714,5694,9.96
2020,01,부산광역시,초등(8-13),여자,56638,5812,9.745
2020,01,부산광역시,청소년(14-19),남자,13313,2800,4.755
2020,01,부산광역시,청소년(14-19),여자,21403,4525,4.73
2020,01,부산광역시,20대,남자,10862,2537,4.281
2020,01,부산광역시,20대,여자,19685,4734,4.158
2020,01,부산광역시,30대,남자,24025,3661,6.562
2020,01,부산광역시,30대,여자,71374,9633,7.409
2020,01,부산광역시,40대,남자,76451,9668,7.908
2020,01,부산광역시,40대,여자,124884,16694,7.481
2020,01,부산광역시,50대,남자,25865,4092,6.321
2020,01,부산광역시,50대,여자,27054,4637,5.834
2020,01,부산광역시,60대이상,남자,23963,3311,7.237
2020,01,부산광역시,60대이상,여자,18194,2453,7.417
2020,01,서울특별시,영유아(0-5),남자,17653,1859,9.496
2020,01,서울특별시,영유아(0-5),여자,19140,1851,10.34
2020,01,서울특별시,유아(6-7),남자,32144,3159,10.175
2020,01,서울특별시,유아(6-7),여자,30209,2988,10.11
2020,01,서울특별시,초등(8-13),남자,145716,16339,8.918
2020,01,서울특별시,초등(8-13),여자,157863,17518,9.011
2020,01,서울특별시,청소년(14-19),남자,36484,7555,4.829
2020,01,서울특별시,청소년(14-19),여자,50821,10947,4.642
2020,01,서울특별시,20대,남자,29656,7981,3.716
2020,01,서울특별시,20대,여자,66379,17870,3.715
2020,01,서울특별시,30대,남자,73790,12853,5.741
2020,01,서울특별시,30대,여자,232433,36362,6.392
2020,01,서울특별시,40대,남자,234038,32123,7.286
2020,01,서울특별시,40대,여자,421370,61944,6.802
2020,01,서울특별시,50대,남자,78528,13968,5.622
2020,01,서울특별시,50대,여자,84782,16972,4.995
2020,01,서울특별시,60대이상,남자,62827,10340,6.076
2020,01,서울특별시,60대이상,여자,48432,7822,6.192
2020,01,세종특별자치시,영유아(0-5),남자,867,104,8.337
2020,01,세종특별자치시,영유아(0-5),여자,240,26,9.231
2020,01,세종특별자치시,유아(6-7),남자,1036,131,7.908
2020,01,세종특별자치시,유아(6-7),여자,553,66,8.379
2020,01,세종특별자치시,초등(8-13),남자,6554,859,7.63
2020,01,세종특별자치시,초등(8-13),여자,3950,508,7.776
2020,01,세종특별자치시,청소년(14-19),남자,2178,463,4.704
2020,01,세종특별자치시,청소년(14-19),여자,1979,414,4.78
2020,01,세종특별자치시,20대,남자,1026,247,4.154
2020,01,세종특별자치시,20대,여자,1677,466,3.599
2020,01,세종특별자치시,30대,남자,3247,613,5.297
2020,01,세종특별자치시,30대,여자,7540,1243,6.066
2020,01,세종특별자치시,40대,남자,9887,1660,5.956
2020,01,세종특별자치시,40대,여자,12423,2001,6.208
2020,01,세종특별자치시,50대,남자,3170,620,5.113
2020,01,세종특별자치시,50대,여자,2446,511,4.787
2020,01,세종특별자치시,60대이상,남자,2020,320,6.313
2020,01,세종특별자치시,60대이상,여자,1382,206,6.709
