ANALS_TRGET_YEAR,ANALS_TRGET_MT,AGE_FLAG_NM,KWRD_RANK_CO,KWRD_NM,FQ_CO
"2021","12","50대","82","종목","377"
"2021","12","50대","84","자기","376"
"2021","12","50대","84","오늘","376"
"2021","12","50대","84","기록","376"
"2021","12","50대","87","상황","371"
"2021","12","50대","87","활용","371"
"2021","12","50대","89","친구","369"
"2021","12","50대","90","나이","368"
"2021","12","50대","91","국내","366"
"2021","12","50대","92","메타버스","365"
"2021","12","50대","92","처음","365"
"2021","12","50대","94","아이","363"
"2021","12","50대","94","주목","363"
"2021","12","50대","96","연구","361"
"2021","12","50대","97","준비","358"
"2021","12","50대","97","인물","358"
"2021","12","50대","99","얼마","357"
"2021","12","50대","99","정보","357"
"2021","12","60대 이상","1","사람","2968"
"2021","12","60대 이상","2","투자","1514"
"2021","12","60대 이상","3","역사","1432"
"2021","12","60대 이상","4","자신","1369"
"2021","12","60대 이상","5","시작","1327"
"2021","12","60대 이상","5","시대","1327"
"2021","12","60대 이상","7","사랑","1306"
"2021","12","60대 이상","8","세계","1198"
"2021","12","60대 이상","9","인생","1182"
"2021","12","60대 이상","10","한국","1138"
"2021","12","60대 이상","11","독자","1135"
"2021","12","60대 이상","12","마음","1030"
