,월,지역,연령,성별,회원수,대출건수,독서량
311,2,강원도,초등(8-13),여자,11751,1499,7.839
312,2,강원도,청소년(14-19),남자,3195,722,4.425
313,2,강원도,청소년(14-19),여자,4958,1192,4.159
314,2,강원도,20대,남자,2782,700,3.974
315,2,강원도,20대,여자,4649,1171,3.97
316,2,강원도,30대,남자,6036,1056,5.716
317,2,강원도,30대,여자,14742,2399,6.145
318,2,강원도,40대,남자,14167,2108,6.721
319,2,강원도,40대,여자,20761,3436,6.042
320,2,강원도,50대,남자,6340,1143,5.547
321,2,강원도,50대,여자,6344,1273,4.984
322,2,강원도,60대이상,남자,6144,982,6.257
323,2,강원도,60대이상,여자,2999,540,5.554
324,2,경기도,영유아(0-5),남자,24450,2128,11.49
325,2,경기도,영유아(0-5),여자,26722,2179,12.263
326,2,경기도,유아(6-7),남자,42725,3516,12.152
327,2,경기도,유아(6-7),여자,43299,3448,12.558
328,2,경기도,초등(8-13),남자,182350,18380,9.921
329,2,경기도,초등(8-13),여자,186991,18878,9.905
330,2,경기도,청소년(14-19),남자,42473,8980,4.73
331,2,경기도,청소년(14-19),여자,59170,13018,4.545
332,2,경기도,20대,남자,37836,10154,3.726
333,2,경기도,20대,여자,71437,19132,3.734
334,2,경기도,30대,남자,88010,14194,6.201
335,2,경기도,30대,여자,267446,36154,7.397
336,2,경기도,40대,남자,280189,36334,7.711
337,2,경기도,40대,여자,475992,63067,7.547
338,2,경기도,50대,남자,87997,16086,5.47
339,2,경기도,50대,여자,94082,18253,5.154
340,2,경기도,60대이상,남자,66790,11490,5.813
341,2,경기도,60대이상,여자,44417,7404,5.999
342,2,경상남도,영유아(0-5),남자,4745,615,7.715
343,2,경상남도,영유아(0-5),여자,4743,570,8.321
344,2,경상남도,유아(6-7),남자,6118,786,7.784
345,2,경상남도,유아(6-7),여자,5612,685,8.193
346,2,경상남도,초등(8-13),남자,25218,3399,7.419
347,2,경상남도,초등(8-13),여자,23112,3297,7.01
348,2,경상남도,청소년(14-19),남자,6592,1697,3.885
349,2,경상남도,청소년(14-19),여자,9327,2322,4.017
350,2,경상남도,20대,남자,4634,1320,3.511
351,2,경상남도,20대,여자,7911,2211,3.578
352,2,경상남도,30대,남자,10778,2037,5.291
353,2,경상남도,30대,여자,32703,5519,5.926
354,2,경상남도,40대,남자,25410,4265,5.958
355,2,경상남도,40대,여자,43340,7542,5.746
356,2,경상남도,50대,남자,8130,1737,4.68
357,2,경상남도,50대,여자,8912,2062,4.322
358,2,경상남도,60대이상,남자,7677,1457,5.269
359,2,경상남도,60대이상,여자,5315,931,5.709
360,2,경상북도,영유아(0-5),남자,2054,259,7.931
361,2,경상북도,영유아(0-5),여자,1902,239,7.958
362,2,경상북도,유아(6-7),남자,2942,388,7.582
363,2,경상북도,유아(6-7),여자,2475,333,7.432
364,2,경상북도,초등(8-13),남자,12977,1773,7.319
365,2,경상북도,초등(8-13),여자,12015,1714,7.01
366,2,경상북도,청소년(14-19),남자,3343,853,3.919
367,2,경상북도,청소년(14-19),여자,5875,1491,3.94
368,2,경상북도,20대,남자,3151,851,3.703
369,2,경상북도,20대,여자,5022,1346,3.731
370,2,경상북도,30대,남자,7342,1243,5.907
371,2,경상북도,30대,여자,18678,3053,6.118
372,2,경상북도,40대,남자,15756,2461,6.402
373,2,경상북도,40대,여자,24842,4309,5.765
374,2,경상북도,50대,남자,4910,1031,4.762
375,2,경상북도,50대,여자,5879,1291,4.554
376,2,경상북도,60대이상,남자,4879,896,5.445
377,2,경상북도,60대이상,여자,3354,581,5.773
378,2,광주광역시,영유아(0-5),남자,1535,181,8.481
379,2,광주광역시,영유아(0-5),여자,811,109,7.44
380,2,광주광역시,유아(6-7),남자,2029,260,7.804
381,2,광주광역시,유아(6-7),여자,1328,169,7.858
382,2,광주광역시,초등(8-13),남자,8095,1129,7.17
383,2,광주광역시,초등(8-13),여자,7704,1090,7.068
384,2,광주광역시,청소년(14-19),남자,1742,436,3.995
385,2,광주광역시,청소년(14-19),여자,2686,652,4.12
386,2,광주광역시,20대,남자,1469,416,3.531
387,2,광주광역시,20대,여자,3427,885,3.872
388,2,광주광역시,30대,남자,4358,714,6.104
389,2,광주광역시,30대,여자,11237,1938,5.798
390,2,광주광역시,40대,남자,10846,1775,6.11
391,2,광주광역시,40대,여자,16824,2882,5.838
392,2,광주광역시,50대,남자,3133,648,4.835
393,2,광주광역시,50대,여자,3583,805,4.451
394,2,광주광역시,60대이상,남자,3170,637,4.976
395,2,광주광역시,60대이상,여자,2150,360,5.972
396,2,대구광역시,영유아(0-5),남자,2659,227,11.714
397,2,대구광역시,영유아(0-5),여자,2801,245,11.433
398,2,대구광역시,유아(6-7),남자,4642,447,10.385
399,2,대구광역시,유아(6-7),여자,4493,438,10.258
400,2,대구광역시,초등(8-13),남자,20312,2231,9.104
401,2,대구광역시,초등(8-13),여자,21979,2389,9.2
402,2,대구광역시,청소년(14-19),남자,4475,1042,4.295
403,2,대구광역시,청소년(14-19),여자,7066,1585,4.458
404,2,대구광역시,20대,남자,3082,965,3.194
405,2,대구광역시,20대,여자,7267,1968,3.693
406,2,대구광역시,30대,남자,10101,1396,7.236
407,2,대구광역시,30대,여자,38402,4817,7.972
408,2,대구광역시,40대,남자,29744,3695,8.05
409,2,대구광역시,40대,여자,52912,7322,7.226
410,2,대구광역시,50대,남자,7076,1370,5.165
411,2,대구광역시,50대,여자,9346,2044,4.572
412,2,대구광역시,60대이상,남자,5865,1260,4.655
413,2,대구광역시,60대이상,여자,5475,917,5.971
414,2,대전광역시,영유아(0-5),남자,2095,247,8.482
415,2,대전광역시,영유아(0-5),여자,1945,214,9.089
416,2,대전광역시,유아(6-7),남자,3750,412,9.102
417,2,대전광역시,유아(6-7),여자,3673,400,9.183
418,2,대전광역시,초등(8-13),남자,16858,2113,7.978
419,2,대전광역시,초등(8-13),여자,16981,2057,8.255
420,2,대전광역시,청소년(14-19),남자,4999,1042,4.798
421,2,대전광역시,청소년(14-19),여자,6672,1447,4.611
422,2,대전광역시,20대,남자,3372,841,4.01
423,2,대전광역시,20대,여자,6266,1500,4.177
424,2,대전광역시,30대,남자,7468,1186,6.297
425,2,대전광역시,30대,여자,20305,2987,6.798
426,2,대전광역시,40대,남자,22451,3142,7.145
427,2,대전광역시,40대,여자,34551,5295,6.525
428,2,대전광역시,50대,남자,8054,1431,5.628
429,2,대전광역시,50대,여자,8448,1672,5.053
430,2,대전광역시,60대이상,남자,6294,1050,5.994
431,2,대전광역시,60대이상,여자,5313,772,6.882
432,2,부산광역시,영유아(0-5),남자,5316,515,10.322
433,2,부산광역시,영유아(0-5),여자,4179,476,8.779
434,2,부산광역시,유아(6-7),남자,6410,735,8.721
435,2,부산광역시,유아(6-7),여자,6690,737,9.077
436,2,부산광역시,초등(8-13),남자,31480,3992,7.886
437,2,부산광역시,초등(8-13),여자,30989,3919,7.907
438,2,부산광역시,청소년(14-19),남자,8324,1963,4.24
439,2,부산광역시,청소년(14-19),여자,12018,2925,4.109
440,2,부산광역시,20대,남자,7556,2014,3.752
441,2,부산광역시,20대,여자,13432,3650,3.68
442,2,부산광역시,30대,남자,15912,2891,5.504
443,2,부산광역시,30대,여자,43116,7109,6.065
444,2,부산광역시,40대,남자,49189,7484,6.573
445,2,부산광역시,40대,여자,71990,12053,5.973
446,2,부산광역시,50대,남자,17426,3364,5.18
447,2,부산광역시,50대,여자,18375,3719,4.941
448,2,부산광역시,60대이상,남자,17058,2984,5.716
449,2,부산광역시,60대이상,여자,12492,2055,6.079
450,2,서울특별시,영유아(0-5),남자,8005,1021,7.84
451,2,서울특별시,영유아(0-5),여자,8400,1053,7.977
452,2,서울특별시,유아(6-7),남자,13713,1745,7.858
453,2,서울특별시,유아(6-7),여자,12941,1671,7.744
454,2,서울특별시,초등(8-13),남자,63117,8691,7.262
455,2,서울특별시,초등(8-13),여자,67355,9074,7.423
456,2,서울특별시,청소년(14-19),남자,15780,3654,4.319
457,2,서울특별시,청소년(14-19),여자,21318,5207,4.094
458,2,서울특별시,20대,남자,14266,4317,3.305
459,2,서울특별시,20대,여자,31341,9567,3.276
460,2,서울특별시,30대,남자,36165,7718,4.686
461,2,서울특별시,30대,여자,96758,19608,4.935
462,2,서울특별시,40대,남자,112009,18931,5.917
463,2,서울특별시,40대,여자,174472,32525,5.364
464,2,서울특별시,50대,남자,40779,8509,4.792
465,2,서울특별시,50대,여자,38384,9297,4.129
466,2,서울특별시,60대이상,남자,31695,6640,4.773
467,2,서울특별시,60대이상,여자,22871,4545,5.032
468,2,세종특별자치시,영유아(0-5),남자,521,70,7.443
469,2,세종특별자치시,영유아(0-5),여자,229,29,7.897
470,2,세종특별자치시,유아(6-7),남자,777,110,7.064
471,2,세종특별자치시,유아(6-7),여자,376,52,7.231
472,2,세종특별자치시,초등(8-13),남자,4608,682,6.757
473,2,세종특별자치시,초등(8-13),여자,2979,372,8.008
474,2,세종특별자치시,청소년(14-19),남자,1509,352,4.287
475,2,세종특별자치시,청소년(14-19),여자,1239,300,4.13
476,2,세종특별자치시,20대,남자,732,203,3.606
477,2,세종특별자치시,20대,여자,1191,341,3.493
478,2,세종특별자치시,30대,남자,2294,493,4.653
479,2,세종특별자치시,30대,여자,5218,906,5.759
480,2,세종특별자치시,40대,남자,6947,1254,5.54
481,2,세종특별자치시,40대,여자,8951,1563,5.727
482,2,세종특별자치시,50대,남자,2301,507,4.538
483,2,세종특별자치시,50대,여자,1898,431,4.404
484,2,세종특별자치시,60대이상,남자,1311,282,4.649
485,2,세종특별자치시,60대이상,여자,918,168,5.464
486,2,울산광역시,영유아(0-5),남자,1735,279,6.219
487,2,울산광역시,영유아(0-5),여자,2956,432,6.843
488,2,울산광역시,유아(6-7),남자,2170,294,7.381
489,2,울산광역시,유아(6-7),여자,3405,468,7.276
490,2,울산광역시,초등(8-13),남자,10522,1468,7.168
491,2,울산광역시,초등(8-13),여자,14208,2030,6.999
492,2,울산광역시,청소년(14-19),남자,3365,820,4.104
493,2,울산광역시,청소년(14-19),여자,4933,1234,3.998
494,2,울산광역시,20대,남자,2396,645,3.715
495,2,울산광역시,20대,여자,4694,1251,3.752
496,2,울산광역시,30대,남자,7580,1325,5.721
497,2,울산광역시,30대,여자,20681,3423,6.042
498,2,울산광역시,40대,남자,14725,2390,6.161
499,2,울산광역시,40대,여자,27557,4663,5.91
500,2,울산광역시,50대,남자,5358,1013,5.289
501,2,울산광역시,50대,여자,6334,1257,5.039
502,2,울산광역시,60대이상,남자,3312,580,5.71
503,2,울산광역시,60대이상,여자,2929,479,6.115
